"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7161","Main page can be opened and loaded","","Mon Mar 30 08:47:23 UTC 2026","passed","Mon Mar 30 08:47:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","6909","Booking form is loaded","","Mon Mar 30 08:47:24 UTC 2026","passed","Mon Mar 30 08:47:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","9413","Pay online is loading","","Mon Mar 30 08:47:45 UTC 2026","passed","Mon Mar 30 08:47:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","17126","Can start reserving a room","","Mon Mar 30 08:47:48 UTC 2026","passed","Mon Mar 30 08:48:05 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","16563","Search results via API","","Mon Mar 30 08:47:34 UTC 2026","passed","Mon Mar 30 08:47:50 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","21335","Search results can be opened and displayed","","Mon Mar 30 08:47:23 UTC 2026","passed","Mon Mar 30 08:47:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","9916","Pay online is working","","Mon Mar 30 08:47:50 UTC 2026","passed","Mon Mar 30 08:48:00 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","10142","Backend is working","","Mon Mar 30 08:47:23 UTC 2026","passed","Mon Mar 30 08:47:34 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","1","All the pictures are loaded","","Mon Mar 30 08:47:23 UTC 2026","skipped","Mon Mar 30 08:47:23 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","17241","1st picture of the 1st card is loaded","","Mon Mar 30 08:47:31 UTC 2026","passed","Mon Mar 30 08:47:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","24154","Reservation is working","","Mon Mar 30 08:47:31 UTC 2026","passed","Mon Mar 30 08:47:55 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
