"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11694","Backend is working","","Thu May 07 20:46:24 UTC 2026","passed","Thu May 07 20:46:35 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","1","All the pictures are loaded","","Thu May 07 20:46:24 UTC 2026","skipped","Thu May 07 20:46:24 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","20340","Search results can be opened and displayed","","Thu May 07 20:46:24 UTC 2026","passed","Thu May 07 20:46:44 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","19379","1st picture of the 1st card is loaded","","Thu May 07 20:46:31 UTC 2026","passed","Thu May 07 20:46:51 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","8574","Pay online is loading","","Thu May 07 20:46:31 UTC 2026","passed","Thu May 07 20:46:40 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","18443","Can start reserving a room","","Thu May 07 20:46:44 UTC 2026","passed","Thu May 07 20:47:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","7400","Main page can be opened and loaded","","Thu May 07 20:46:24 UTC 2026","passed","Thu May 07 20:46:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","19657","Search results via API","","Thu May 07 20:46:35 UTC 2026","passed","Thu May 07 20:46:55 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","9712","Pay online is working","","Thu May 07 20:46:40 UTC 2026","passed","Thu May 07 20:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","7137","Booking form is loaded","","Thu May 07 20:46:24 UTC 2026","passed","Thu May 07 20:46:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
