"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7722","Main page can be opened and loaded","","Mon Mar 30 01:56:35 UTC 2026","passed","Mon Mar 30 01:56:42 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","12941","Backend is working","","Mon Mar 30 01:56:35 UTC 2026","passed","Mon Mar 30 01:56:48 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","24712","Search results can be opened and displayed","","Mon Mar 30 01:56:35 UTC 2026","passed","Mon Mar 30 01:56:59 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","9429","Pay online is working","","Mon Mar 30 01:56:51 UTC 2026","passed","Mon Mar 30 01:57:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","20139","Can start reserving a room","","Mon Mar 30 01:56:59 UTC 2026","passed","Mon Mar 30 01:57:20 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","21011","Search results via API","","Mon Mar 30 01:56:48 UTC 2026","passed","Mon Mar 30 01:57:09 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","3","All the pictures are loaded","","Mon Mar 30 01:56:35 UTC 2026","skipped","Mon Mar 30 01:56:35 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","7459","Booking form is loaded","","Mon Mar 30 01:56:35 UTC 2026","passed","Mon Mar 30 01:56:42 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","20416","1st picture of the 1st card is loaded","","Mon Mar 30 01:56:42 UTC 2026","passed","Mon Mar 30 01:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","8771","Pay online is loading","","Mon Mar 30 01:56:42 UTC 2026","passed","Mon Mar 30 01:56:51 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
