"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6735","Booking form is loaded","","Wed Apr 29 08:03:09 UTC 2026","passed","Wed Apr 29 08:03:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","7018","Main page can be opened and loaded","","Wed Apr 29 08:03:09 UTC 2026","passed","Wed Apr 29 08:03:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","11027","Pay online is working","","Wed Apr 29 08:03:28 UTC 2026","passed","Wed Apr 29 08:03:39 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","1","All the pictures are loaded","","Wed Apr 29 08:03:09 UTC 2026","skipped","Wed Apr 29 08:03:09 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","15052","Search results via API","","Wed Apr 29 08:03:19 UTC 2026","passed","Wed Apr 29 08:03:34 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","12066","Pay online is loading","","Wed Apr 29 08:03:16 UTC 2026","passed","Wed Apr 29 08:03:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","15078","Can start reserving a room","","Wed Apr 29 08:03:30 UTC 2026","passed","Wed Apr 29 08:03:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","21109","Search results can be opened and displayed","","Wed Apr 29 08:03:09 UTC 2026","passed","Wed Apr 29 08:03:30 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","17183","1st picture of the 1st card is loaded","","Wed Apr 29 08:03:16 UTC 2026","passed","Wed Apr 29 08:03:33 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","9863","Backend is working","","Wed Apr 29 08:03:09 UTC 2026","passed","Wed Apr 29 08:03:19 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
