"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","All the pictures are loaded","","Wed Apr 22 19:01:54 UTC 2026","skipped","Wed Apr 22 19:01:54 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","13986","Can start reserving a room","","Wed Apr 22 19:02:14 UTC 2026","passed","Wed Apr 22 19:02:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","15862","1st picture of the 1st card is loaded","","Wed Apr 22 19:02:01 UTC 2026","passed","Wed Apr 22 19:02:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","9923","Backend is working","","Wed Apr 22 19:01:54 UTC 2026","passed","Wed Apr 22 19:02:04 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","20072","Search results can be opened and displayed","","Wed Apr 22 19:01:54 UTC 2026","passed","Wed Apr 22 19:02:14 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","8951","Pay online is loading","","Wed Apr 22 19:02:01 UTC 2026","passed","Wed Apr 22 19:02:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","6878","Booking form is loaded","","Wed Apr 22 19:01:54 UTC 2026","passed","Wed Apr 22 19:02:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","15524","Search results via API","","Wed Apr 22 19:02:04 UTC 2026","passed","Wed Apr 22 19:02:19 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","10097","Pay online is working","","Wed Apr 22 19:02:10 UTC 2026","passed","Wed Apr 22 19:02:20 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","7019","Main page can be opened and loaded","","Wed Apr 22 19:01:54 UTC 2026","passed","Wed Apr 22 19:02:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
