"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8654","Main page can be opened and loaded","","Mon Apr 13 14:13:41 UTC 2026","passed","Mon Apr 13 14:13:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","25062","Search results can be opened and displayed","","Mon Apr 13 14:13:41 UTC 2026","passed","Mon Apr 13 14:14:06 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","All the pictures are loaded","","Mon Apr 13 14:13:41 UTC 2026","skipped","Mon Apr 13 14:13:41 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","13380","Backend is working","","Mon Apr 13 14:13:41 UTC 2026","passed","Mon Apr 13 14:13:54 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","11730","Pay online is working","","Mon Apr 13 14:14:01 UTC 2026","passed","Mon Apr 13 14:14:12 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","21087","1st picture of the 1st card is loaded","","Mon Apr 13 14:13:50 UTC 2026","passed","Mon Apr 13 14:14:11 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","8232","Booking form is loaded","","Mon Apr 13 14:13:41 UTC 2026","passed","Mon Apr 13 14:13:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","11071","Pay online is loading","","Mon Apr 13 14:13:50 UTC 2026","passed","Mon Apr 13 14:14:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","21552","Search results via API","","Mon Apr 13 14:13:54 UTC 2026","passed","Mon Apr 13 14:14:16 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","20538","Can start reserving a room","","Mon Apr 13 14:14:06 UTC 2026","passed","Mon Apr 13 14:14:27 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
