"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6744","Booking form is loaded","","Wed Apr 01 01:49:45 UTC 2026","passed","Wed Apr 01 01:49:52 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","14429","1st picture of the 1st card is loaded","","Wed Apr 01 01:49:52 UTC 2026","passed","Wed Apr 01 01:50:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","14920","Search results via API","","Wed Apr 01 01:49:55 UTC 2026","passed","Wed Apr 01 01:50:10 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","15887","Can start reserving a room","","Wed Apr 01 01:50:04 UTC 2026","passed","Wed Apr 01 01:50:20 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","9380","Backend is working","","Wed Apr 01 01:49:45 UTC 2026","passed","Wed Apr 01 01:49:55 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","19133","Search results can be opened and displayed","","Wed Apr 01 01:49:45 UTC 2026","passed","Wed Apr 01 01:50:04 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","All the pictures are loaded","","Wed Apr 01 01:49:45 UTC 2026","skipped","Wed Apr 01 01:49:45 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","7063","Main page can be opened and loaded","","Wed Apr 01 01:49:45 UTC 2026","passed","Wed Apr 01 01:49:52 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","7523","Pay online is loading","","Wed Apr 01 01:49:52 UTC 2026","passed","Wed Apr 01 01:50:00 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","10185","Pay online is working","","Wed Apr 01 01:50:00 UTC 2026","passed","Wed Apr 01 01:50:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
