"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21293","Can start reserving a room","","Sun Mar 15 08:28:57 UTC 2026","passed","Sun Mar 15 08:29:18 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","8210","Pay online is working","","Sun Mar 15 08:28:49 UTC 2026","passed","Sun Mar 15 08:28:58 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","12061","Backend is working","","Sun Mar 15 08:28:35 UTC 2026","passed","Sun Mar 15 08:28:47 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","7323","Main page can be opened and loaded","","Sun Mar 15 08:28:35 UTC 2026","passed","Sun Mar 15 08:28:42 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","17496","1st picture of the 1st card is loaded","","Sun Mar 15 08:28:42 UTC 2026","passed","Sun Mar 15 08:29:00 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","6987","Pay online is loading","","Sun Mar 15 08:28:42 UTC 2026","passed","Sun Mar 15 08:28:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","0","All the pictures are loaded","","Sun Mar 15 08:28:35 UTC 2026","skipped","Sun Mar 15 08:28:35 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","7049","Booking form is loaded","","Sun Mar 15 08:28:35 UTC 2026","passed","Sun Mar 15 08:28:42 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","18902","Search results via API","","Sun Mar 15 08:28:47 UTC 2026","passed","Sun Mar 15 08:29:06 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","21544","Search results can be opened and displayed","","Sun Mar 15 08:28:35 UTC 2026","passed","Sun Mar 15 08:28:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
