"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24774","Search results can be opened and displayed","","Fri Apr 10 22:00:29 UTC 2026","passed","Fri Apr 10 22:00:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","19221","Can start reserving a room","","Fri Apr 10 22:00:54 UTC 2026","passed","Fri Apr 10 22:01:13 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","7843","Booking form is loaded","","Fri Apr 10 22:00:30 UTC 2026","passed","Fri Apr 10 22:00:38 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","19730","1st picture of the 1st card is loaded","","Fri Apr 10 22:00:38 UTC 2026","passed","Fri Apr 10 22:00:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","21324","Search results via API","","Fri Apr 10 22:00:42 UTC 2026","passed","Fri Apr 10 22:01:04 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","11913","Pay online is working","","Fri Apr 10 22:00:48 UTC 2026","passed","Fri Apr 10 22:01:00 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","10501","Pay online is loading","","Fri Apr 10 22:00:38 UTC 2026","passed","Fri Apr 10 22:00:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","8248","Main page can be opened and loaded","","Fri Apr 10 22:00:29 UTC 2026","passed","Fri Apr 10 22:00:38 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","2","All the pictures are loaded","","Fri Apr 10 22:00:29 UTC 2026","skipped","Fri Apr 10 22:00:29 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","12889","Backend is working","","Fri Apr 10 22:00:29 UTC 2026","passed","Fri Apr 10 22:00:42 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
