"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20315","Search results via API","","Mon May 25 20:08:11 UTC 2026","passed","Mon May 25 20:08:31 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","19552","1st picture of the 1st card is loaded","","Mon May 25 20:09:15 UTC 2026","passed","Mon May 25 20:09:34 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","3853","Booking form is loaded","","Mon May 25 20:08:31 UTC 2026","passed","Mon May 25 20:08:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","15649","Pay online is loading","","Mon May 25 20:08:31 UTC 2026","passed","Mon May 25 20:08:47 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","20685","Search results can be opened and displayed","","Mon May 25 20:08:11 UTC 2026","passed","Mon May 25 20:08:32 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","10123","Backend is working","","Mon May 25 20:08:11 UTC 2026","passed","Mon May 25 20:08:21 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","26065","Can start reserving a room","","Mon May 25 20:08:35 UTC 2026","passed","Mon May 25 20:09:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","1","All the pictures are loaded","","Mon May 25 20:08:11 UTC 2026","skipped","Mon May 25 20:08:11 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","18373","Pay online is working","","Mon May 25 20:08:32 UTC 2026","passed","Mon May 25 20:08:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","6179","Main page can be opened and loaded","","Mon May 25 20:08:11 UTC 2026","passed","Mon May 25 20:08:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
