"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19202","Search results can be opened and displayed","","Sun Apr 05 23:31:34 UTC 2026","passed","Sun Apr 05 23:31:53 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","7194","Main page can be opened and loaded","","Sun Apr 05 23:31:34 UTC 2026","passed","Sun Apr 05 23:31:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","7180","Booking form is loaded","","Sun Apr 05 23:31:34 UTC 2026","passed","Sun Apr 05 23:31:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","6899","Pay online is loading","","Sun Apr 05 23:31:41 UTC 2026","passed","Sun Apr 05 23:31:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","16535","1st picture of the 1st card is loaded","","Sun Apr 05 23:31:41 UTC 2026","passed","Sun Apr 05 23:31:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","15094","Search results via API","","Sun Apr 05 23:31:43 UTC 2026","passed","Sun Apr 05 23:31:59 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","2","All the pictures are loaded","","Sun Apr 05 23:31:34 UTC 2026","skipped","Sun Apr 05 23:31:34 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","8152","Pay online is working","","Sun Apr 05 23:31:48 UTC 2026","passed","Sun Apr 05 23:31:56 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","16503","Can start reserving a room","","Sun Apr 05 23:31:53 UTC 2026","passed","Sun Apr 05 23:32:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","9719","Backend is working","","Sun Apr 05 23:31:34 UTC 2026","passed","Sun Apr 05 23:31:43 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
