"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9523","Pay online is loading","","Sun Apr 19 20:28:36 UTC 2026","passed","Sun Apr 19 20:28:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","6294","Main page can be opened and loaded","","Sun Apr 19 20:28:19 UTC 2026","passed","Sun Apr 19 20:28:25 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","9874","Pay online is working","","Sun Apr 19 20:28:36 UTC 2026","passed","Sun Apr 19 20:28:46 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","0","All the pictures are loaded","","Sun Apr 19 20:28:19 UTC 2026","skipped","Sun Apr 19 20:28:19 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","3779","Booking form is loaded","","Sun Apr 19 20:28:33 UTC 2026","passed","Sun Apr 19 20:28:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","9217","Backend is working","","Sun Apr 19 20:28:19 UTC 2026","passed","Sun Apr 19 20:28:28 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","12950","1st picture of the 1st card is loaded","","Sun Apr 19 20:28:25 UTC 2026","passed","Sun Apr 19 20:28:38 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","0","Can start reserving a room","","Sun Apr 19 20:28:37 UTC 2026","skipped","Sun Apr 19 20:28:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","17142","Search results via API","","Sun Apr 19 20:28:19 UTC 2026","passed","Sun Apr 19 20:28:36 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","14665","Search results can be opened and displayed","","Sun Apr 19 20:28:19 UTC 2026","passed","Sun Apr 19 20:28:33 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
