"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12096","Pay online is loading","","Mon Apr 20 17:53:15 UTC 2026","passed","Mon Apr 20 17:53:27 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","1","All the pictures are loaded","","Mon Apr 20 17:53:08 UTC 2026","skipped","Mon Apr 20 17:53:08 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","13068","Pay online is working","","Mon Apr 20 17:53:27 UTC 2026","passed","Mon Apr 20 17:53:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","14619","1st picture of the 1st card is loaded","","Mon Apr 20 17:53:15 UTC 2026","passed","Mon Apr 20 17:53:30 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","16707","Can start reserving a room","","Mon Apr 20 17:53:28 UTC 2026","passed","Mon Apr 20 17:53:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","20102","Search results can be opened and displayed","","Mon Apr 20 17:53:08 UTC 2026","passed","Mon Apr 20 17:53:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","7205","Booking form is loaded","","Mon Apr 20 17:53:08 UTC 2026","passed","Mon Apr 20 17:53:15 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","7502","Main page can be opened and loaded","","Mon Apr 20 17:53:08 UTC 2026","passed","Mon Apr 20 17:53:15 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","16522","Search results via API","","Mon Apr 20 17:53:18 UTC 2026","passed","Mon Apr 20 17:53:35 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","10351","Backend is working","","Mon Apr 20 17:53:08 UTC 2026","passed","Mon Apr 20 17:53:18 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
