"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14193","1st picture of the 1st card is loaded","","Sun Mar 22 15:19:25 UTC 2026","passed","Sun Mar 22 15:19:40 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","20601","Search results can be opened and displayed","","Sun Mar 22 15:19:18 UTC 2026","passed","Sun Mar 22 15:19:38 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","All the pictures are loaded","","Sun Mar 22 15:19:18 UTC 2026","skipped","Sun Mar 22 15:19:18 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","15775","Search results via API","","Sun Mar 22 15:19:28 UTC 2026","passed","Sun Mar 22 15:19:43 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","7529","Main page can be opened and loaded","","Sun Mar 22 15:19:18 UTC 2026","passed","Sun Mar 22 15:19:25 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","9967","Backend is working","","Sun Mar 22 15:19:18 UTC 2026","passed","Sun Mar 22 15:19:28 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","7242","Booking form is loaded","","Sun Mar 22 15:19:18 UTC 2026","passed","Sun Mar 22 15:19:25 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","9141","Pay online is loading","","Sun Mar 22 15:19:25 UTC 2026","passed","Sun Mar 22 15:19:34 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","10174","Pay online is working","","Sun Mar 22 15:19:34 UTC 2026","passed","Sun Mar 22 15:19:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","14617","Can start reserving a room","","Sun Mar 22 15:19:38 UTC 2026","passed","Sun Mar 22 15:19:53 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
