"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9083","Pay online is working","","Sat Apr 11 17:03:39 UTC 2026","passed","Sat Apr 11 17:03:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","11786","Backend is working","","Sat Apr 11 17:03:24 UTC 2026","passed","Sat Apr 11 17:03:35 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","7453","Main page can be opened and loaded","","Sat Apr 11 17:03:24 UTC 2026","passed","Sat Apr 11 17:03:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","21274","Search results can be opened and displayed","","Sat Apr 11 17:03:24 UTC 2026","passed","Sat Apr 11 17:03:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","18088","Can start reserving a room","","Sat Apr 11 17:03:45 UTC 2026","passed","Sat Apr 11 17:04:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","1","All the pictures are loaded","","Sat Apr 11 17:03:24 UTC 2026","skipped","Sat Apr 11 17:03:24 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","18601","Search results via API","","Sat Apr 11 17:03:35 UTC 2026","passed","Sat Apr 11 17:03:54 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","8327","Pay online is loading","","Sat Apr 11 17:03:31 UTC 2026","passed","Sat Apr 11 17:03:39 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","18206","1st picture of the 1st card is loaded","","Sat Apr 11 17:03:31 UTC 2026","passed","Sat Apr 11 17:03:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","7081","Booking form is loaded","","Sat Apr 11 17:03:24 UTC 2026","passed","Sat Apr 11 17:03:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
