"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12103","Pay online is working","","Wed Apr 22 17:31:58 UTC 2026","passed","Wed Apr 22 17:32:11 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","21942","Search results via API","","Wed Apr 22 17:31:50 UTC 2026","passed","Wed Apr 22 17:32:12 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","20588","Can start reserving a room","","Wed Apr 22 17:32:01 UTC 2026","passed","Wed Apr 22 17:32:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","23869","Search results can be opened and displayed","","Wed Apr 22 17:31:37 UTC 2026","passed","Wed Apr 22 17:32:01 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","13131","Pay online is loading","","Wed Apr 22 17:31:45 UTC 2026","passed","Wed Apr 22 17:31:58 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","7779","Booking form is loaded","","Wed Apr 22 17:31:37 UTC 2026","passed","Wed Apr 22 17:31:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","1","All the pictures are loaded","","Wed Apr 22 17:31:37 UTC 2026","skipped","Wed Apr 22 17:31:37 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","12408","Backend is working","","Wed Apr 22 17:31:37 UTC 2026","passed","Wed Apr 22 17:31:50 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","8127","Main page can be opened and loaded","","Wed Apr 22 17:31:37 UTC 2026","passed","Wed Apr 22 17:31:45 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","20975","1st picture of the 1st card is loaded","","Wed Apr 22 17:31:45 UTC 2026","passed","Wed Apr 22 17:32:06 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
