"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16770","Search results via API","","Wed Apr 22 07:10:59 UTC 2026","passed","Wed Apr 22 07:11:16 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","7201","Booking form is loaded","","Wed Apr 22 07:10:49 UTC 2026","passed","Wed Apr 22 07:10:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","17292","Can start reserving a room","","Wed Apr 22 07:11:09 UTC 2026","passed","Wed Apr 22 07:11:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","19559","Search results can be opened and displayed","","Wed Apr 22 07:10:49 UTC 2026","passed","Wed Apr 22 07:11:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","11347","Pay online is working","","Wed Apr 22 07:11:09 UTC 2026","passed","Wed Apr 22 07:11:20 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","1","All the pictures are loaded","","Wed Apr 22 07:10:49 UTC 2026","skipped","Wed Apr 22 07:10:49 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","7565","Main page can be opened and loaded","","Wed Apr 22 07:10:49 UTC 2026","passed","Wed Apr 22 07:10:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","14550","1st picture of the 1st card is loaded","","Wed Apr 22 07:10:57 UTC 2026","passed","Wed Apr 22 07:11:11 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","12278","Pay online is loading","","Wed Apr 22 07:10:57 UTC 2026","passed","Wed Apr 22 07:11:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","10308","Backend is working","","Wed Apr 22 07:10:49 UTC 2026","passed","Wed Apr 22 07:10:59 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
