"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8153","Pay online is loading","","Mon May 11 20:30:30 UTC 2026","passed","Mon May 11 20:30:38 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","7061","Booking form is loaded","","Mon May 11 20:30:11 UTC 2026","passed","Mon May 11 20:30:18 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","17488","1st picture of the 1st card is loaded","","Mon May 11 20:30:18 UTC 2026","passed","Mon May 11 20:30:36 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","18928","Search results can be opened and displayed","","Mon May 11 20:30:11 UTC 2026","passed","Mon May 11 20:30:30 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","0","All the pictures are loaded","","Mon May 11 20:30:11 UTC 2026","skipped","Mon May 11 20:30:11 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","66680","Reservation is working","","Mon May 11 20:42:07 UTC 2026","failed","Mon May 11 20:43:14 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","8847","Pay online is working","","Mon May 11 20:30:38 UTC 2026","passed","Mon May 11 20:30:47 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","15625","Backend is working","","Mon May 11 20:30:11 UTC 2026","passed","Mon May 11 20:30:27 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","7286","Main page can be opened and loaded","","Mon May 11 20:30:11 UTC 2026","passed","Mon May 11 20:30:18 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","67063","Can start reserving a room","","Mon May 11 20:42:07 UTC 2026","failed","Mon May 11 20:43:14 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","25880","Search results via API","","Mon May 11 20:30:27 UTC 2026","passed","Mon May 11 20:30:52 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
