"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14714","Search results via API","","Wed Mar 18 08:39:26 UTC 2026","passed","Wed Mar 18 08:39:41 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","9582","Pay online is working","","Wed Mar 18 08:39:32 UTC 2026","passed","Wed Mar 18 08:39:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","6963","Booking form is loaded","","Wed Mar 18 08:39:16 UTC 2026","passed","Wed Mar 18 08:39:23 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","7209","Main page can be opened and loaded","","Wed Mar 18 08:39:16 UTC 2026","passed","Wed Mar 18 08:39:23 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","16932","Search results can be opened and displayed","","Wed Mar 18 08:39:16 UTC 2026","passed","Wed Mar 18 08:39:33 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","13154","1st picture of the 1st card is loaded","","Wed Mar 18 08:39:23 UTC 2026","passed","Wed Mar 18 08:39:36 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","1","All the pictures are loaded","","Wed Mar 18 08:39:16 UTC 2026","skipped","Wed Mar 18 08:39:16 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","13175","Can start reserving a room","","Wed Mar 18 08:39:33 UTC 2026","passed","Wed Mar 18 08:39:46 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","8430","Pay online is loading","","Wed Mar 18 08:39:23 UTC 2026","passed","Wed Mar 18 08:39:32 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","10052","Backend is working","","Wed Mar 18 08:39:16 UTC 2026","passed","Wed Mar 18 08:39:26 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
