"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","All the pictures are loaded","","Fri Mar 13 21:35:46 UTC 2026","skipped","Fri Mar 13 21:35:46 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","13873","Search results can be opened and displayed","","Fri Mar 13 21:35:46 UTC 2026","passed","Fri Mar 13 21:36:00 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","8039","Pay online is loading","","Fri Mar 13 21:36:02 UTC 2026","passed","Fri Mar 13 21:36:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","3895","Booking form is loaded","","Fri Mar 13 21:36:00 UTC 2026","passed","Fri Mar 13 21:36:04 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","12770","Can start reserving a room","","Fri Mar 13 21:36:04 UTC 2026","passed","Fri Mar 13 21:36:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","6425","Main page can be opened and loaded","","Fri Mar 13 21:35:46 UTC 2026","passed","Fri Mar 13 21:35:52 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","15935","Search results via API","","Fri Mar 13 21:35:46 UTC 2026","passed","Fri Mar 13 21:36:02 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","8660","Backend is working","","Fri Mar 13 21:35:46 UTC 2026","passed","Fri Mar 13 21:35:54 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","11405","1st picture of the 1st card is loaded","","Fri Mar 13 21:35:52 UTC 2026","passed","Fri Mar 13 21:36:04 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","8813","Pay online is working","","Fri Mar 13 21:36:02 UTC 2026","passed","Fri Mar 13 21:36:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
