"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11893","Backend is working","","Mon May 25 10:21:28 UTC 2026","passed","Mon May 25 10:21:40 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","9702","Pay online is loading","","Mon May 25 10:21:48 UTC 2026","passed","Mon May 25 10:21:57 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","16754","Search results via API","","Mon May 25 10:21:40 UTC 2026","passed","Mon May 25 10:21:57 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","19773","Search results can be opened and displayed","","Mon May 25 10:21:28 UTC 2026","passed","Mon May 25 10:21:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","6985","Booking form is loaded","","Mon May 25 10:21:28 UTC 2026","passed","Mon May 25 10:21:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","70798","Reservation is working","","Mon May 25 10:34:12 UTC 2026","failed","Mon May 25 10:35:23 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","7226","Main page can be opened and loaded","","Mon May 25 10:21:28 UTC 2026","passed","Mon May 25 10:21:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","1","All the pictures are loaded","","Mon May 25 10:21:28 UTC 2026","skipped","Mon May 25 10:21:28 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","27361","Can start reserving a room","","Mon May 25 10:21:55 UTC 2026","passed","Mon May 25 10:22:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","12664","Pay online is working","","Mon May 25 10:21:57 UTC 2026","passed","Mon May 25 10:22:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","19495","1st picture of the 1st card is loaded","","Mon May 25 10:21:35 UTC 2026","passed","Mon May 25 10:21:55 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
