"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25396","Can start reserving a room","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","22414","Search results can be opened and displayed","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","11847","Pay online is working","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","1","All the pictures are loaded","","2026-07-09","skipped","2026-07-09","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","12219","Pay online is loading","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","19053","1st picture of the 1st card is loaded","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","16764","Search results via API","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","10223","Backend is working","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","7048","Main page can be opened and loaded","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","6741","Booking form is loaded","","2026-07-09","passed","2026-07-09","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
