"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11618","Backend is working","","Sat Mar 28 16:58:18 UTC 2026","passed","Sat Mar 28 16:58:29 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","22355","Search results can be opened and displayed","","Sat Mar 28 16:58:18 UTC 2026","passed","Sat Mar 28 16:58:40 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","18835","Search results via API","","Sat Mar 28 16:58:29 UTC 2026","passed","Sat Mar 28 16:58:48 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","7466","Pay online is working","","Sat Mar 28 16:58:32 UTC 2026","passed","Sat Mar 28 16:58:40 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","7223","Pay online is loading","","Sat Mar 28 16:58:25 UTC 2026","passed","Sat Mar 28 16:58:32 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","17838","Can start reserving a room","","Sat Mar 28 16:58:40 UTC 2026","passed","Sat Mar 28 16:58:58 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","7318","Main page can be opened and loaded","","Sat Mar 28 16:58:18 UTC 2026","passed","Sat Mar 28 16:58:25 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","18797","1st picture of the 1st card is loaded","","Sat Mar 28 16:58:25 UTC 2026","passed","Sat Mar 28 16:58:44 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","1","All the pictures are loaded","","Sat Mar 28 16:58:18 UTC 2026","skipped","Sat Mar 28 16:58:18 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","7039","Booking form is loaded","","Sat Mar 28 16:58:18 UTC 2026","passed","Sat Mar 28 16:58:25 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
